asset_description,asset_abbreviation,system,ifc_class,ifc_type,haystack_tag,brick_parent,brick_child,uniclass_parent,uniclass_product,uniclass_code
actuator,ACT,"HVAC Control, Facade, LC",IfcActuator,NOTDEFINED,actuator,,,Controllers and control panels,"Damper actuators,
Valve actuators","Pr_75_50_18_21,
Pr_75_50_18_94
"
ahu - air handling unit,AHU,HVAC,IfcUnitaryEquipment,AIRHANDLER,Air Handling Unit,"Air Handler Unit, AHU",,Air and fume source products,Air handling units,Pr_60_65_03
ahu - heat recovery unit,HRU,HVAC,IfcAirToAirHeatRecovery,NOTDEFINED,ahu,"Air Handler Unit, AHU",,Air and fume source products,Air handling units,Pr_60_65_03
ahu - make-up air handler,MAU,HVAC,IfcUnitaryEquipment,AIRHANDLER,mau,Air Handler Unit,,,,
air conditioning unit,ACU,HVAC,IfcUnitaryEquipment,AIRCONDITIONINGUNIT,hvac,,,,,
air conditioning unit - computer room AC unit,CRAC,HVAC,IfcUnitaryEquipment,AIRCONDITIONINGUNIT,crac,Computer Room Air Conditioning,"Computer Room Air Conditioning, CRAC",Air conditioning units,Room air conditioning units,Pr_70_65_03_72
air conditioning unit - direct expansion cooling unit,DX,HVAC,IfcUnitaryEquipment,SPLITSYSTEM,,,,,,
air terminal box - constant air volume box,CAV,HVAC,IfcAirTerminalBox,CONSTANTFLOW,cav,Terminal Unit,,Duct dampers,Constant volume boxes,Pr_65_65_24_16
air terminal box - variable air volume box,VAV,HVAC,IfcAirTerminalBox,NOTDEFINED,vav,Variable Air Volume Box,"Variable Air Volume Box, VAV",Duct dampers,Variable air volume boxes,Pr_65_65_24_93
air terminal box - variable volume and temperature box,VVTB,HVAC,IfcAirTerminalBox,NOTDEFINED,airTerminalUnit,Terminal Unit,,,,
air terminal box - variable volume terminal unit,VVT,HVAC,IfcAirTerminalBox,NOTDEFINED,airTerminalUnit,Terminal Unit,,,,
antenna,ANT,ITC,IfcCommunicationsAppliance,ANTENNA,,,,"Communications source products
","Antennas and satellite dishes
",Pr_60_75_01
antenna - wi-fi antenna,WANT,ITC,IfcCommunicationsAppliance,ANTENNA,,,,,,
av equipment - digital whiteboard,DWB,AV,IfcAudioVisualAppliance,DISPLAY,,,,,,
av equipment - display screen,DS,"HVAC Control, Electrical, Security, AV, LC, EM, ITC, Transportation",IfcAudioVisualAppliance,DISPLAY,,,,,,
av equipment - iptv content management system device,CMS,AV,IfcAudioVisualAppliance,NOTDEFINED,,,,,,
av equipment - networked video recorder,NVR,"ITC, AV, Security",IfcAudioVisualAppliance,PLAYER,,,,,,
av equipment - video wall,VDW,"ITC, AV",IfcAudioVisualAppliance,DISPLAY,,,,,,
burner - boiler,BLR,HVAC,ifcBoiler,NOTDEFINED,boiler,Boiler,,Heating and cooling source products,Boilers,Pr_60_60_08
burner - furnace,FR,HVAC,IfcBurner,NOTDEFINED,,,,,,
burner - steam boiler,SB,HVAC,IfcBoiler,STEAM,steam-boiler,Boiler,,,,
camera,CAM,"Security, AV",IfcAudioVisualAppliance,CAMERA,,Camera,,,,
"camera - pan, tilt, zoom camera",PTZCAM,"AV, Security",IfcAudioVisualAppliance,CAMERA,,Camera,Surveillance Camera,"Surveillance cameras, monitors and ancillaries","Pan, tilt, zoom cameras",Pr_60_75_86_65
cgw,PHX,HVAC,IfcHeatExchanger,PLATE,heatExchanger,"HX, Heat Exchanger",,Calorifiers and plate heat exchangers,Plate heat exchangers,Pr_60_60_38_62
chilled beam,CHB,HVAC,IfcCooledBeam,NOTDEFINED,chilledBeam,,,Space heating and cooling products,"Climatic beams and ceilings
",Pr_70_60_14
chiller ,CH,HVAC,IfcChiller,NOTDEFINED,chiller,Chiller,,Heating and cooling source products,"Chillers and cooling towers
","Pr_60_60_13"
chiller - cooling tower ,CT,HVAC,IfcCoolingTower,NOTDEFINED,coolingTower,,,Heating and cooling source products,"Chillers and cooling towers
","Pr_60_60_13"
chiller - critical cooling chiller,CCCH,HVAC,IfcChiller,NOTDEFINED,chiller,Chiller,,,,
chiller - dry air cooler,DAC,HVAC,IfcCondenser,AIRCOOLED,,Condenser,,,,
chiller - high temperature chiller,HTCH,HVAC,IfcChiller,NOTEDEFINED,chiller,Chiller,,,,
chiller - hybrid air cooler or fluid cooler,HYAC,HVAC,IfcEvaporativeCooler,NOTDEFINED,,,,,,
chiller - low temperature chiller,LTCH,HVAC,IfcChiller,NOTDEFINED,chiller,Chiller,,,,
coil,COIL,HVAC,IfcCoil,NOTDEFINED,coil,Heat Exchanger,Coil,Air and fume source products,"Heating and cooling coils",Pr_60_65_37
coil - cooling coil,CC,HVAC,IfcCoil,WATERCOOLINGCOIL,coolingCoil,Coil,Cooling Coil,Air and fume source products,"Chilled water cooling coils",Pr_60_65_37_12
coil - frost or preheat coil,PHC,HVAC,IfcCoil,NOTDEFINED,coil,Heat Exchanger,Coil,,,
coil - heating coil,HC,HVAC,IfcCoil,WATERHEATINGCOIL,heatingCoil,,,Air and fume source products,Low temperature hot water heating coils,Pr_60_65_37_47
coil - reheat coil,RHC,HVAC,IfcCoil,NOTDEFINED,coil,Heat Exchanger,Coil,,,
coil - run around coil,RAC,HVAC,IfcAirToAirHeatRecovery,RUNAROUNDCOILLOOP,coil,Heat Exchanger,Coil,"Heat recovery distribution equipment
","Run-around coils","Pr_60_60_36_7
"
communication gateway,CGW,"HVAC Controls, LC, EM, ITC, Fire, Security, Electrical, Transportation, Facade, AV, ES",IfcCommunicationsAppliance,GATEWAY,,,,,,
compressor,CMP,HVAC,IfcCompressor,NOTDEFINED,,Compressor,,,,
compressor - air compressor,ACP,HVAC,ifcCompressor,NOTDEFINED,,Compressor ,,,,
condensing unit,CDU,HVAC,IfcCondenser,AIRCOOLED,,Condenser,,,,
controller,CNTRL,"HVAC Controls, PH, BMS, LC, Fire, Facade, ITC, AV, Electrical",IfcController,NOTDEFINED,controller,,,,,
controller - direct digital controller,DDC,HVAC Control,IfcController,PROGRAMMABLE,controller,,,,,
controller - programmable logic controller,PLC,Electrical,IfcController,PROGRAMMABLE,controller,,,Controllers and control panels,Programmers,Pr_75_50_18_70
controller - shading device controller,SDC,Facade,IfcController,NOTDEFINED,controller,,,,,
damper ,DMP,"HVAC, Fire",IfcDamper,NOTDEFINED,damper,Damper,,"Ductwork products",Duct dampers,Pr_65_65_24
damper - bypass control damper,BYCD,HVAC,IfcDamper,CONTROLDAMPER,damper,Dmper,,,,
damper - fire damper,FD,Fire,IfcDamper,FIREDAMPER,damper,Damper,,Duct dampers,Fire dampers,Pr_65_65_24_30
damper - inlet control damper,ICD,HVAC,IfcDamper,CONTROLDAMPER,damper,Damper,,,,
damper - inlet isolation damper,IISD,HVAC,IfcDamper,NOTDEFINED,,Damper,,,,
damper - motorised fire smoke damper,MFSD,"HVAC, Fire",IfcDamper,FIRESMOKEDAMPER,Damper,Damper,,Duct dampers,Fire and smoke dampers,"Pr_65_65_24_29
"
damper - motorised smoke damper,MSD,"HVAC, Fire",IfcDamper,SMOKEDAMPER,damper,Damper,,,,
damper - pressure relief dampers,PRLD,HVAC,IfcDamper,RELIEFDAMPER,damper,Damper,,Duct dampers,Pressure relief dampers,Pr_65_65_24_68
damper - recirculation control damper,RECD,HVAC,IfcDamper,CONTROLDAMPER,,,,,,
damper - return control damper,RTCD,HVAC,IfcDamper,CONTROLDAMPER,damper,Damper,Return Damper,,,
damper - return isolation damper,RTISD,HVAC,IfcDamper,CONTROLDAMPER,,,,,,
damper - volume control damper,VCD,HVAC,IfcDamper,BALANCINGDAMPER,damper,Damper,,Duct dampers,Volume control dampers,Pr_65_65_24_95
data processing unit / computer,DPU,ITC,IfcCommunicationsAppliance,NOTDEFINED,,,,,,
dehumidifier,DHUM,HVAC,IfcUnitaryEquipment,DEHUMIDIFIER,,,,Air and fume distribution products,Humidifiers and dehumidifiers,Pr_65_67_39
door,DOOR,"Architecture, Fire, Security",IfcDoor,DOOR,,,,Openings and opening component products,Doorsets,"Pr_30_59_24"
door - fire door,FDOOR,"Architecture, Fire, Security",IfcDoor,NOTDEFINED,,,,Doorsets,Fire doorsets,"Pr_30_59_24_28"
drinking fountain / bottle filler,DF,PH,IfcSanitaryTerminal,SANITARYFOUNTAIN,,,,,,
duct silencer - attenuator,SLCR,HVAC,IfcDuctSilencer,NOTDEFINED,,,,Air and fume distribution products,Sound attenuators,Pr_65_67_78
dx system - variable refrigerant flow unit,VRF,HVAC,IfcUnitaryEquipment,SPLITSYSTEM,,,,Heat pumps,Variable refrigerant flow (VRF) air-to-air heat pumps,Pr_70_60_37_94
dx system - variable refrigerant volume unit,VRV,HVAC,IfcUnitaryEquipment,SPLITSYSTEM,,,,Heat pumps,Variable refrigerant flow (VRF) air-to-air heat pumps,Pr_70_60_37_94
electrical appliance - air dryer,ADY,Appliance,IfcElectricAppliance,NOTDEFINED,,,,,,
electrical appliance - dishwasher,DW,Appliance,IfcElectricAppliance,DISHWASHER,,,,Equipment,Dishwashers,Pr_40_70_21
electrical appliance - dispenser,DISP,Appliance,IfcElectricAppliance,NOTDEFINED,,,,,,
electrical appliance - freezer,FRZ,Appliance,IfcElectricAppliance,FREEZER,,,,Equipment,Food refrigerators and freezers,Pr_40_70_31
electrical appliance - fryer,FRY,Appliance,IfcElectricAppliance,ELECTRICCOOKER,,,,,,
electrical appliance - ice maker,IM,Appliance,IfcElectricAppliance,NOTDEFINED,,,,,,
electrical appliance - oven,OVN,Appliance,IfcElectricAppliance,ELECTRICCOOKER,,,,,,
electrical appliance - refrigerator,REF,Appliance,IfcElectricAppliance,REFRIGERATOR,,,,Equipment,Food refrigerators and freezers,Pr_40_70_31
electrical appliance - steamer,STE,Appliance,IfcElectricAppliance,NOTDEFINED,,,,,,
electrical appliance - warm drawer,WDR,Appliance,IfcElectricAppliance,ELECTRICCOOKER,,,,,,
electrical distribution - automatic transfer switch,ATS,Electrical,IfcProtectiveDevice,NOTDEFINED,,,,Low voltage switchgear,Automatic transfer switching equipment (TSE),Pr_60_70_48_05
electrical distribution - branch circuit panel board 120/208V,LVCPB,Electrical,IfcElectricDistributionBoard,DISTRIBUTIONBOARD,elec-panel,,,,,
electrical distribution - branch circuit panel board 277/480V,HVCPB,Electrical,IfcElectricDistributionBoard,DISTRIBUTIONBOARD,elec-panel,,,,,
electrical distribution - distribution panel / board,DB,Electrical,IfcElectricDistributionBoard,"DISTRIBUTIONBOARD, NOTDEFINED",,,,Distribution boxes and switchboards,Distribution boards,Pr_60_70_22_22
electrical distribution - distribution panel 120/208V,LVDP,Electrical,IfcElectricDistributionBoard,DISTRIBUTIONBOARD,elec-panel,,,,,
electrical distribution - distribution panel 277/480V,HVDP,Electrical,IfcElectricDistributionBoard,DISTRIBUTIONBOARD,elec-panel,,,,,
electrical distribution - distribution panel for itc equipment,ITDP,"ITC, Electrical",IfcElectricDistributionBoard,,elec-panel,,,,,
electrical distribution - EVC electric vehicle charging distribution panel,EVDP,Electrical,IfcElectricDistributionBoard,DISTRIBUTIONBOARD,elec-panel,,,,,
electrical distribution - EVC electrical vehicle charging equipment,EVCE,Electrical,IfcOutlet,POWEROUTLET,,,,,,
electrical distribution - high voltage switchboard,HVSB,Electrical,IfcElectricDistributionBoard,SWITCHBOARD,elec-panel,,,,,
electrical distribution - kitchen electrical distribution panel/board,KDP,Electrical,IfcElectricDistributionBoard,NOTDEFINED,elec-panel,,,,,
electrical distribution - load bank,LB,Electrical,IfcElectricFlowStorageDevice,NOTDEFINED,,,,,,
electrical distribution - low voltage switchboard,LVSB,Electrical,IfcElectricDistributionBoard,SWITCHBOARD,elec-panel,,,,,
electrical distribution - main panel / board,MPNL,Electrical,IfcElectricDistributionBoard,NOTDEFINED,elec-panel,,,,,
electrical distribution - mains distribution unit,MDU,Electrical,IfcElectricDistributionBoard,,,,,,,
electrical distribution - mains switchboard,MSB,Electrical,IfcElectricDistributionBoard,SWITCHBOARD,elec-panel,,,,,
electrical distribution - mechanical distribution panel / board,MDB,"HVAC, Electrical",IfcElectricDistributionBoard,DISTRIBUTIONBOARD ,elec-panel,,,,,
electrical distribution - medium voltage switchboard,MVSB,Electrical,IfcElectricDistributionBoard,SWITCHBOARD,,,,,,
electrical distribution - power distribution unit,PDU,Electrical,IfcElectricDistributionBoard,,,,,,,
electrical distribution - static transfer switch,STS,Electrical,IfcSwitchingDevice,,,,,,,
electrical distribution - switchgear (12kv typ),SWGR,Electrical,IfcElectricDistributionBoard,SWITCHBOARD,elec-panel,,,,,
electrical distribution - ups panel / board,UPS,Electrical,IfcElectricDistributionBoard,DISTRIBUTIONBOARD,elec-panel,,,,,
electrical protective device - circuit breaker,CB,Electrical,IfcProtectiveDevice,CIRCUITBREAKER,,Electrical Equipment,Breaker panel,,,
electrical protective device - disconnect fuse,DSCTF,Electrical,IfcProtectiveDevice,FUSEDISCONNECTOR,,,,,,
electrical switch - safety switch or disconnect switch,DSCTS,Electrical,IfcSwitchingDevice,SWITCHDISCONNECTOR,,Electrical Equipment,Disconnect Switch,,,
