asset_description,asset_abbreviation,can_be_connected,dbo_entity_type,ifc4_3,ifc2x3
air terminal - box,ATB,,,IfcAirTerminalBox,
heat emitter - air heater,AHR,,,IfcAirToAirHeatRecovery,
alarm,ALR,,,IfcAlarm,
structure - beam,BEAM,,,IfcBeam,
structure - bearing,BRG,,,IfcBearing,
borehole,BHL,,,IfcBorehole,
structure - bridge,BRDG,,,IfcBridge,
generic built object - element proxy,PROXY,,,IfcBuildingElementProxy,
generic built object - built element,ELEM,,,IfcBuiltElement,
burner - generic,BUR,,,IfcBurner,
cable management - cable carrier fitting,CCF,,,IfcCableCarrierFitting,
cable management - cable carrier segment,CCS,,,IfcCableCarrierSegment,
cable management - cable fitting,CFT,,,IfcCableFitting,
structure -  caisson foundation,CFN,,,IfcCaissonFoundation,
structure - chimney,CMN,,,IfcChimney,
structure - column,COL,,,IfcColumn,
communication appliance,CMA,,,IfcCommunicationsAppliance,
conveyor segment,CNV,,,IfcConveyorSegment,
architecture - covering,COV,,,IfcCovering,
structure - curtain wall,CTW,,,IfcCurtainWall,
distribution - chamber,DCE,,,IfcDistributionChamberElement,
distribution - circuit,DCT,,,IfcDistributionCircuit,
distribution - system,DSYS,,,IfcDistributionSystem,
duct fitting,DFT,,,IfcDuctFitting,
structure - earthworks cut,EWC,,,IfcEarthworksCut,
electric flow treatment device,EFT,,,IfcElectricFlowTreatmentDevice,
electrical equipment - motor,EMT,,,IfcElectricMotor,
electric time control,ETC,,,IfcElectricTimeControl,
element assembly,ASM,,,IfcElementAssembly,
electrical equipment - engine,ENG,,,IfcEngine,
evaporative cooler ,EVCL,,,IfcEvaporativeCooler,
structure - fastener,FSTN,,,IfcFastener,
fire suppression terminal,FSP,,,IfcFireSuppressionTerminal,
flow instrument / gauge,FIN,,,IfcFlowInstrument,
structure - footing,FOT,,,IfcFooting,
architecture - furniture,FUR,,,IfcFurniture,
geographic element,GEO,,,IfcGeographicElement,
grid,GRD,,,IfcGrid,
group,GRP,,,IfcGroup,
impact protection device,IPD,,,IfcImpactProtectionDevice,
interceptor,INT,,,IfcInterceptor,
junction box,JB,,,IfcJunctionBox,
structure - kerb,KRB,,,IfcKerb,
lighting - lamp,LMP,,,IfcLamp,
liquid terminal,LQT,,,IfcLiquidTerminal,
structure - mechanical fastener,MCF,,,IfcMechanicalFastener,
medical device,MED,,,IfcMedicalDevice,
structure - member,MBR,,,IfcMember,
mobile telecommunications appliance,MTA,,,IfcMobileTelecommunicationsAppliance,
structure - mooring device,MRD,,,IfcMooringDevice,
motor connection,MCN,,,IfcMotorConnection,
architecture - navigation element,NAV,,,IfcNavigationElement,
structure - opening,OPN,,,IfcOpeningElement,
structure - pavement,PAV,,,IfcPavement,
structure - pile,PIL,,,IfcPile,
pipe fitting,PFT,,,IfcPipeFitting,
plate,PLT,,,IfcPlate,
electrical protective device,PDV,,,IfcProtectiveDevice,
electrical tripping unit,PTU,,,IfcProtectiveDeviceTrippingUnit,
structure - reinforcing bar,RAIL,,,IfcRail,
structure - ramp,RLG,,,IfcRailing,
structure - ramp flight,RAMP,,,IfcRamp,
structure - reinforcing bar,RAMPFL,,,IfcRampFlight,
structure - reinforcing bar,RFB,,,IfcReinforcingBar,
structure - reinforcing mesh,RFM,,,IfcReinforcingMesh,
stucture - roof,ROOF,,,IfcRoof,
sanitary terminal,SAN,,,IfcSanitaryTerminal,
sensor,SNS,,,IfcSensor,
shading device,SHD,,,IfcShadingDevice,
architecture - sign,SIGN,,,IfcSign,
structure - slab,SLB,,,IfcSlab,
solar device,SOL,,,IfcSolarDevice,
space,SPACE,,,IfcSpace,
spatial zone,SZONE,,,IfcSpatialZone,
structure - stair,STR,,,IfcStair,
structure - stair flight,STRFL,,,IfcStairFlight,
electric - switching device,SWD,,,IfcSwitchingDevice,
arhitecture - system furniture element,SFE,,,IfcSystemFurnitureElement,
structure - tendon,TEN,,,IfcTendon,
structure - anchor,TAN,,,IfcTendonAnchor,
structure - tendon circuit,TCN,,,IfcTendonConduit,
structure - track,TRACK,,,IfcTrackElement,
transport element,TRE,,,IfcTransportElement,
tube bundle,TBN,,,IfcTubeBundle,
unitary control element,UCE,,,IfcUnitaryControlElement,
unitary equipment - pre packaged equipment,UEQ,,,IfcUnitaryEquipment,
vehicle,VCL,,,IfcVehicle,
structure - vibration damper,VIBDMP,,,IfcVibrationDamper,
structure - vibration isolator,VIBISO,,,IfcVibrationIsolator,
structure - wall,WALL,,,IfcWall,
waste terminal,WSTT,,,IfcWasteTerminal,
zone,ZONE,,,IfcZone,
