asset_description,asset_abbreviation,dbo_entity_type,can_be_connected,ifc_class,ifc_type,ifc_version,IFC2x3,IFC4.3
access control - RFID controller,RFIDC,,1,IfcController,NOTDEFINED,"2x3,4x1,4.3",IfcControllerType.USERDEFINED,IfcControllerType.USERDEFINED
access control - RFID reader,RFIDR,,1,IfcCommunicationsAppliance,SCANNER,"4x1,4.3",IfcElectricApplianceType.SCANNER,IfcCommunicationsApplianceType.SCANNER
access control - access control system,ACS,,1,IfcDistributionSystem,SECURITY,,,
access control - audio intercom,AIC,,1,IfcSwitchingDevice,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcSwitchingDeviceType.NOTDEFINED,IfcSwitchingDeviceType.USERDEFINED","IfcSwitchingDeviceType.NOTDEFINED,IfcSwitchingDeviceType.USERDEFINED"
access control - biometric reader,BIOR,,1,IfcCommunicationsAppliance,SCANNER,"4x1,4.3",IfcElectricApplianceType.SCANNER,IfcCommunicationsApplianceType.SCANNER
access control - request to exit,RTE,,1,IfcSwitchingDevice,CONTACTOR,"2x3,4x1,4.3",IfcSwitchingDeviceType.CONTACTOR,IfcSwitchingDeviceType.CONTACTOR
access control - video intercom,VIC,,1,IfcSwitchingDevice,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcSwitchingDeviceType.NOTDEFINED,IfcSwitchingDeviceType.USERDEFINED","IfcSwitchingDeviceType.NOTDEFINED,IfcSwitchingDeviceType.USERDEFINED"
actuator,ACT,,1,IfcActuator,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3,2x3,4x1,4.3,2x3,4x1,4.3,2x3,4x1,4.3,2x3,4x1,4.3","IfcActuatorType.NOTDEFINED,IfcActuatorType.HANDOPERATEDACTUATOR,IfcActuatorType.HYDRAULICACTUATOR,IfcActuatorType.PNEUMATICACTUATOR,IfcActuatorType.THERMOSTATICACTUATOR,IfcActuatorType.USERDEFINED","IfcActuatorType.NOTDEFINED,IfcActuatorType.HANDOPERATEDACTUATOR,IfcActuatorType.HYDRAULICACTUATOR,IfcActuatorType.PNEUMATICACTUATOR,IfcActuatorType.THERMOSTATICACTUATOR,IfcActuatorType.USERDEFINED"
actuator - frost protection switch,FPSW,,1,IfcActuator,ELECTRICACTUATOR,"2x3,4x1,4.3",IfcActuatorType.ELECTRICACTUATOR,IfcActuatorType.ELECTRICACTUATOR
actuator - motorized window operator,WDO,,1,IfcActuator,ELECTRICACTUATOR,"2x3,4x1,4.3",IfcActuatorType.ELECTRICACTUATOR,IfcActuatorType.ELECTRICACTUATOR
